в прис`утствии	По заверш`ении основн`ойч`астицерем`онииоткр`ытияИгр на стади`оне в прис`утствиипремьер-мин`истраГр`еции Константиноса Караманлиса и презид`ента Междунар`одногоОлимп`ийскогокомит`етаЖака Рогге был п`однятПаралимпийский флаг и зажжёнПаралимпийский ог`онь.
В Сиднее	В Сиднее ,завоев`ав 35 мед`алей ,росси`янеб`ылина14 м`есте.
на пар`аде	Росс`ийскийфлаг на пар`аде сб`орных-уч`астниковИгр нёс паралимпийский чемпи`онплов`ец Альб`ерт Бакаев .
в Пекине	78-летний кит`айскийл`идерЦзян Цзэминь п`одал прош`ение об отст`авке с пост`а председ`ателя Центр`альногово`енногосов`ета /ЦВС / КНР на проход`ящем в Пекине пл`енуме ЦК комп`артииКит`ая.
в Сянгане	Об `этомсообщ`аетсег`одня из кит`айскойстол`ицы изда`ющаяся в Сянгане информированная газ`ета " Саут Чайна морнинг пост ",ссыл`аясь на кит`айскиеист`очники .
на пост`у	Тогд`аже произойдётутвержд`ение на пост`у председ`ателяЦВС председ`ателяКНР и генер`альногосекретар`яЦК КПК 61-летнего Ху Цзиньтао.
в Росс`ии	63-я годовщ`ина со дня рожд`ения сов`етскойгв`ардии отмеч`аетсясег`одня в Росс`ии .
в бо`ях	Прик`азомнарк`омаСССР от18 сентябр`я 1941 г`ода чет`ыре стрелк`овыедив`изии б`ылипреобраз`ованы в гвард`ейские за м`ассовыйгеро`изм ,м`ужествои выс`окоев`оинскоемастерств`о ,про`явленные в бо`яхс немецко-фашистскими захв`атчиками .
в бо`ях	В сост`ав `этихдив`изий вход`или ч`асти рак`етнойартилл`ерии ,кот`орые усп`ешнод`ействовали в бо`ях под Ельней .
в Москв`е	ИТАР-ТАСС председ`атель объединённогосов`ета Моск`овского комит`етаветер`ановвойн`ы Бор`ис Гормылев "в Москв`е насч`итываются 11 тыс фронтовик`ов-гвард`ейцев ,для кот`орых `этозв`аниест`алос`имволомпризн`ания м`ужества,геро`изма,ст`ойкостии пр`еданностиОт`ечеству".
о культ`уре	Прогр`амму"Аншл`аг "и ей под`обные на госуд`арственномтелев`идении зам`енятперед`ачи о культ`уреи специ`альныйд`етскийкан`ал .
в Иркутске	Об `этомсег`одняна пресс-конфер`енции в Иркутске заяв`илмин`истр культ`урыи м`ассовыхкоммуник`аций РФ Алекс`андр Сокол`ов .
на кан`але	Так,по ег`о слов`ам ,ск`оро на кан`але "Росс`ия " б`удетвозобновлёнцикл " Бес`ед о р`усскойлитерат`уре "`Юрия Лотмана и ряд друг`их ,св`язанных с культ`уройи иск`усством .
на телев`идении	" Т`олько за счёт госуд`арственнойподд`ержки м`огутв`ыжить культ`урныепрогр`аммы на телев`идении ",--сказ`алмин`истр.
В связ`и	В связ`ис `этимон в`ысказался пр`отив приватиз`ации госуд`арственныхтелекомпаний .
на Байкале	Алекс`андр Сокол`ов наход`ился в Иркутске в связ`ис откр`ытиемздесь музык`альногофестив`аля "Звёзды на Байкале ",собравшего так`иеимен`а ,как Влад`имир Спивак`ов ,Ел`ена Образцова ,Г`арри Гродберг ,Ге`оргий Гаранян и друг`ие.
в Интерн`ете	ФИФА в`ыиграла суд`ебнуют`яжбу за сво`иправ`а в Интерн`ете 
на чемпион`атах	Шесть лет пон`адобилось руков`одству миров`огофутб`ола ,чт`обы полож`итькон`ец несанкционированному исп`ользованию сво`ейторг`овойм`арки на чемпион`атахм`ира по футб`олу одн`ой из интернетовских комп`аний .
в борьб`е	Дир`ектор по маркетингу и ТВ Междунар`однойфедер`ацииДжером Валке назв`ал`это "кр`упнойпоб`едойФИФА в борьб`е пр`отив несанкционированного исп`ользованиям`арки в глоб`альнойкомпь`ютерной информаци`оннойсет`и ".
в КНДР	Сейсм`ологиутвержд`ают ,что в КНДР произошл`о 2 взр`ыва 
На террит`ории	На террит`орииКНДР , возм`ожно ,произошл`и два взр`ыва .
на террит`ории	Ссыл`аясь на анон`имныеист`очники в Сеуле , аг`ентство сообщ`ает ,что южнокорейские сейсм`ологи зарегистр`ировали два очаг`а сейсм`ическойакт`ивности на террит`орииКНДР -од`ин в`ечером8 сентябр`я и од`ин р`ано`утром9 сентябр`я2004г.Чем б`ылив`ызванывзр`ывы ,пок`анеизв`естно .
в КНДР	Нап`омним ,что сег`одня в америк`анскойпр`ессе был`аопублик`ованаинформ`ация о том , что в КНДР пров`одится акт`ивнаяподгот`овка к провед`ению `ядерныхиспыт`аний .
